index,genres,valence,acousticness,danceability,energy,instrumentalness,liveness,speechiness
2287,r&b en espanol,0.6262619047619048,0.3785303571428572,0.7214722222222223,0.5688630952380952,0.018071761765873016,0.1069920634920635,0.2423537698412699
2288,rabindra sangeet,0.4027310191655609,0.9296237524292013,0.4410672142924155,0.2265939354312697,0.2285289022190209,0.16270536318067902,0.04620093035172603
2289,radio symphony,0.1755304081655524,0.9378762521132716,0.2895460838840647,0.17071521111900922,0.5168839256570513,0.195349616313174,0.04650740147672839
2290,ragtime,0.6904683929892038,0.8960668559861221,0.5990898775757196,0.3181683728981619,0.5269633905735488,0.2225434715778952,0.06896305744399464
2291,rai,0.2475366541353382,0.4802496240601512,0.4656541353383459,0.4524875563909774,0.15342415825187974,0.2755815789473687,0.054531954887218057
2292,ranchera,0.6216720847643538,0.6236500992320974,0.5311245747075304,0.3849148427197365,0.018206475996199928,0.20682931505034244,0.05656010674953855
2293,rap,0.5533979389860608,0.14625701250235518,0.7282871786988361,0.6696704520823902,0.02083466657195349,0.2090767416491892,0.204598125420429
2294,rap chileno,0.8125370370370371,0.17810777777777778,0.7131296296296297,0.7567037037037038,8.661888888888885e-05,0.16408888888888892,0.2435388888888889
2295,rap conciencia,0.6614608918128655,0.3165712748538011,0.7078304824561403,0.679528581871345,6.066871345029239e-06,0.2630575950292397,0.18302609649122809
2296,rap conscient,0.550125,0.1768125,0.68075,0.6218999999999999,2.273e-06,0.136465,0.212685
2297,rap cristiano,0.3935897435897436,0.4269641025641026,0.5332307692307693,0.5475897435897435,2.203076923076924e-06,0.14295897435897434,0.04151794871794872
2298,rap dominicano,0.7421632653061224,0.12168979591836734,0.7498163265306123,0.6966530612244898,0.10212860061224492,0.0914877551020408,0.10571632653061223
2299,rap kreyol,0.4743409090909091,0.08146249999999998,0.7352500000000001,0.6153409090909089,1.0427272727272728e-05,0.14762272727272724,0.16564318181818186
2300,rap latina,0.6184848891366281,0.2071379176505813,0.7605038525596786,0.6718853303250695,0.01875334783356444,0.1695514520429651,0.13014916852294242
2301,rap metal,0.451962673781092,0.035882323042593166,0.4987454745945851,0.8935076246472042,0.08131999390523009,0.2236327672172102,0.11576091393457427
2302,rap nacional antigo,0.797,0.0423,0.55,0.8340000000000001,0.0,0.29,0.358
2303,rap napoletano,0.2475,0.9572500000000002,0.32899999999999996,0.168625,0.0002495,0.2145,0.0442
2304,rap rock,0.4881479311207512,0.03778739134859648,0.5348289073590757,0.8662025056319523,0.05392057725594427,0.2236724870908626,0.10701850803523684
2305,rap underground mexicano,0.7234117647058824,0.13923722689075632,0.8412773109243695,0.6025966386554621,0.02132846554621849,0.15181176470588234,0.19241176470588234
2306,rare groove,0.6987620991253641,0.2988414791059282,0.553655976676385,0.6571030126336246,0.3562127368901846,0.17741180758017494,0.0648058309037901
2307,rave,0.4571786136939983,0.08514368901098897,0.6104951817413355,0.8484793744716821,0.3318418485021134,0.20724856297548605,0.11010928148774304
2308,rawstyle,0.2553579047619048,0.08270441904761902,0.5143161904761905,0.904870476190476,0.09583004548571428,0.2678146666666668,0.1277687619047619
2309,reading,0.4366032914138688,0.7294568484812145,0.6139154697723774,0.2253478289823945,5.7927365397090175e-06,0.3153045640884471,0.8156431168130304
2310,reading indie,0.3096125,0.13025803296875,0.29990624999999993,0.7043874999999999,0.5753093749999999,0.23342812500000004,0.04267812499999999
2311,rebel blues,0.4829506666666667,0.1356193746666667,0.5597506666666665,0.714924,0.041025851333333335,0.15746799999999994,0.05967773333333334
2312,rebetiko,0.723031293394823,0.9503492522608721,0.5462446503799098,0.3799040929713502,0.3237720852336069,0.18846022148702132,0.05373414341636655
2313,recorder,0.373,0.466,0.619,0.342,0.0902,0.152,0.0349
2314,red dirt,0.47830625,0.1976066070601851,0.5459364583333332,0.6302700231481483,0.003857539701388889,0.21341975694444448,0.033915740740740725
2315,redneck,0.5539448117030606,0.15802619829970713,0.6561255525571862,0.6981613261798244,0.009841928488545712,0.17940287561243318,0.09877701945019038
2316,reggae,0.7452155750467113,0.2205361410683456,0.7449207807904014,0.5316485477543097,0.08394955723680053,0.15546948158669593,0.13192037080125274
2317,reggae en espanol,0.7412974933563168,0.22065775690583925,0.7342517955900311,0.657595579257344,0.00012514497234791355,0.2617059775192128,0.10068379839115137
2318,reggae fusion,0.6446730240560455,0.1458004739037672,0.6970515829157957,0.6641023851222237,0.052450127396817314,0.15541285190084142,0.1581900320779564
2319,reggae rock,0.675422546052826,0.16676975107317354,0.7296303634131218,0.5859938215406965,0.034156382259932304,0.15515646151973736,0.07821917119285658
2320,reggaeton,0.6487024006662819,0.2208037388990996,0.7393176893897211,0.7251473940989264,0.022369210198085385,0.18768615417368967,0.13310729029353313
